,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,standard_stroke,horsepower-binned
0,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,13495.0,-1.8252758405195246,Low
1,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,16500.0,-1.8252758405195246,Low
2,1,122,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.4492537313432835,0.4444444444444446,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,19,26,16500.0,0.6743474669196176,Medium
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.5298507462686567,0.5042735042735046,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950.0,0.4528618573996927,Low
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.5298507462686567,0.521367521367522,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450.0,0.4528618573996927,Low
5,2,122,audi,gas,std,two,sedan,fwd,front,99.8,0.5402985074626868,0.5128205128205127,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,15250.0,0.4528618573996927,Low
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710.0,0.4528618573996927,Low
7,1,122,audi,gas,std,four,wagon,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,18920.0,0.4528618573996927,Low
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875.0,0.4528618573996927,Medium
9,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430.0,-1.445586224199656,Low
10,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925.0,-1.445586224199656,Low
11,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970.0,-0.21159497116007914,Medium
12,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105.0,-0.21159497116007914,Medium
13,1,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,20,25,24565.0,-0.21159497116007914,Medium
14,0,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,22,30760.0,0.4212210560397042,Medium
15,0,122,bmw,gas,std,two,sedan,rwd,front,103.5,0.7865671641791048,0.6495726495726502,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,22,41315.0,0.4212210560397042,Medium
16,0,122,bmw,gas,std,four,sedan,rwd,front,110.0,0.8343283582089553,0.9059829059829065,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15,20,36880.0,0.4212210560397042,Medium
17,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.0,0.0,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,47,53,5151.0,-0.7178477929199057,
18,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.22089552238805987,0.2820512820512823,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6295.0,-0.46472138203999247,Low
19,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.26417910447761217,0.2820512820512823,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6575.0,-0.46472138203999247,Low
20,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,37,41,5572.0,-0.08503176572012246,Low
21,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6377.0,-0.08503176572012246,Low
22,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,7957.0,0.4212210560397042,Low
23,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229.0,-0.08503176572012246,Low
24,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692.0,-0.08503176572012246,Low
25,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609.0,-0.08503176572012246,Low
26,1,148,dodge,gas,turbo,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,8558.0,0.4212210560397042,Low
27,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.5,0.3675213675213672,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,24,30,8921.0,0.6427066655596276,Low
28,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,19,24,12964.0,2.03490192539915,Medium
29,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,49,54,6479.0,0.48450265875968257,Low
30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,31,38,6855.0,0.48450265875968257,Low
31,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,38,42,5399.0,-0.5912845874799492,Low
32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,6529.0,0.48450265875968257,Low
33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7129.0,0.48450265875968257,Low
34,0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.33283582089552255,0.3162393162393164,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7295.0,0.48450265875968257,Low
35,0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.23880597014925373,0.30769230769230776,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,30,34,7295.0,0.48450265875968257,Low
36,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,7895.0,1.0223962818794976,Low
37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,9095.0,1.0223962818794976,Low
38,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,8845.0,1.0223962818794976,Low
39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.18803418803418823,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,10295.0,1.0223962818794976,Low
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,24,28,12945.0,1.0223962818794976,Low
41,1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.417910447761194,0.4871794871794873,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,25,31,10345.0,1.0223962818794976,Low
42,0,122,isuzu,gas,std,four,sedan,rwd,front,94.3,0.4417910447761193,0.12820512820512817,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,24,29,6785.0,-0.08503176572012246,Low
43,2,122,isuzu,gas,std,two,hatchback,rwd,front,96.0,0.4701492537313433,0.4188034188034192,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,24,29,11048.0,-0.08503176572012246,Low
44,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,19,32250.0,2.8892035621188565,Medium
45,0,122,jaguar,gas,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,19,35550.0,2.8892035621188565,Medium
46,0,122,jaguar,gas,std,two,sedan,rwd,front,102.0,0.7552238805970148,0.8803418803418799,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,13,17,36000.0,-1.5721494296396126,High
47,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,30,31,5195.0,-0.3381581766000358,Low
48,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6095.0,-0.3381581766000358,Low
49,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6795.0,-0.3381581766000358,Low
50,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6695.0,-0.3381581766000358,Low
51,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,31,38,7395.0,-0.3381581766000358,Low
52,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,17,23,10945.0,-0.004591718481560898,Low
53,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,17,23,11845.0,-0.004591718481560898,Low
54,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,49.6,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,17,23,13645.0,-0.004591718481560898,Low
55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,49.6,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135,6000.0,16,23,15645.0,-0.004591718481560898,Medium
56,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8845.0,0.4212210560397042,Low
57,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8495.0,0.4212210560397042,Low
58,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10595.0,0.4212210560397042,Low
59,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10245.0,0.4212210560397042,Low
60,0,122,mazda,diesel,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,36,42,10795.0,0.4212210560397042,Low
61,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,11245.0,0.4212210560397042,Low
62,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,19,27,18280.0,-0.3065173752400459,Medium
63,0,122,mazda,diesel,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,31,39,18344.0,1.2122410900394327,Low
64,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,0.7432835820895524,0.8547008547008544,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,25552.0,1.2122410900394327,Medium
65,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,0.7432835820895524,0.8547008547008544,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28248.0,1.2122410900394327,Medium
66,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.6925373134328359,0.8547008547008544,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28176.0,1.2122410900394327,Medium
67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,31600.0,1.2122410900394327,Medium
68,-1,122,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,18,34184.0,-0.49636218339998095,Medium
69,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.5850746268656719,0.8717948717948718,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,18,35056.0,-0.49636218339998095,Medium
70,0,122,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1.0,0.9743589743589746,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,14,16,40960.0,0.29465785059974753,Medium
71,1,122,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,0.8671641791044775,1.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,14,16,45400.0,0.29465785059974753,Medium
72,1,122,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.5567164179104479,0.6581196581196582,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,19,24,16503.0,-0.4330805806800026,Medium
73,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5389.0,-0.08503176572012246,Low
74,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6189.0,-0.08503176572012246,Low
75,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6669.0,-0.08503176572012246,Low
76,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,0.24179104477611965,0.2991452991452991,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,30,7689.0,0.4212210560397042,Low
77,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9959.0,0.6427066655596276,Low
78,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8499.0,0.6427066655596276,Low
79,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,19,24,12629.0,1.908338719959193,Medium
80,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,24,14869.0,1.908338719959193,Medium
81,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,24,14489.0,1.908338719959193,Medium
82,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,6989.0,0.6427066655596276,Low
83,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8189.0,0.6427066655596276,Low
84,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279.0,0.6427066655596276,Low
85,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279.0,0.6427066655596276,Low
86,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,5499.0,0.10481304243981254,Low
87,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,45,50,7099.0,0.6743474669196176,Low
88,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6649.0,0.10481304243981254,Low
89,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6849.0,0.10481304243981254,Low
90,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7349.0,0.10481304243981254,Low
91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7299.0,0.10481304243981254,Low
92,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.3656716417910448,0.2991452991452991,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7799.0,0.10481304243981254,Low
93,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7499.0,0.10481304243981254,Low
94,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7999.0,0.10481304243981254,Low
95,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.3179104477611942,0.2991452991452991,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,8249.0,0.10481304243981254,Low
96,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.4820895522388061,0.4188034188034192,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,34,8949.0,0.6743474669196176,Low
97,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.4820895522388061,0.4188034188034192,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,34,9549.0,0.6743474669196176,Low
98,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.6059701492537313,0.52991452991453,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,22,13499.0,0.04153143971983421,Medium
